# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
8.836240947944250000e+12 1.884440941462278366e+06 -1.001014475890625000e+09 -6.521401154492187500e+08 1.823123920757781714e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.051642261280350000e+13 1.894435271839618683e+06 -1.113604174777343750e+09 -7.331776006914062500e+08 1.833355846444220049e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.242502534199275000e+13 1.904794972688436508e+06 -1.234684861722656250e+09 -8.213624365937500000e+08 1.843956915283623850e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.458176741258375000e+13 1.915522274386167526e+06 -1.364699419132812500e+09 -9.171409230683593750e+08 1.854929733785752440e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700716272747025000e+13 1.926602407864093781e+06 -1.504031619367187500e+09 -1.020900373324218750e+09 1.866259131341958884e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.972252097317750000e+13 1.938036686313629150e+06 -1.653141044726562500e+09 -1.133104012554687500e+09 1.877946655924009159e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.274994107273100000e+13 1.949811447412729263e+06 -1.812426249117187500e+09 -1.254154163902343750e+09 1.889978213404698065e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.611231162807800000e+13 1.961926933740377426e+06 -1.982358325382812500e+09 -1.384525771847656250e+09 1.902354174561091932e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.983330370734500000e+13 1.974370852810859680e+06 -2.163351189179687500e+09 -1.524636733449218750e+09 1.915061827063878765e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.393737143549100000e+13 1.987142285887479782e+06 -2.355882159117187500e+09 -1.674968432968750000e+09 1.928100294022927294e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.844974431688600000e+13 2.000230495399951935e+06 -2.560381608820312500e+09 -1.835955424757812500e+09 1.941458456176386913e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.339642767640100000e+13 2.013633386909484863e+06 -2.777328124242187500e+09 -2.008080558617187500e+09 1.955134189342036145e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.880419496050600000e+13 2.027341874663829803e+06 -3.007169901421875000e+09 -2.191796406242187500e+09 1.969118079528182978e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.470058754905900000e+13 2.041352761814594269e+06 -3.250382620320312500e+09 -2.387583102785156250e+09 1.983406841631044168e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
