# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
3.393737143562300000e+13 1.987142285890579224e+06 -2.355882158953125000e+09 -1.674968433001953125e+09 1.928100294023065129e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.844974431669300000e+13 2.000230495402097702e+06 -2.560381608679687500e+09 -1.835955424521484375e+09 1.941458456175588537e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.339642767498800000e+13 2.013633386907339096e+06 -2.777328124453125000e+09 -2.008080558593750000e+09 1.955134189341255929e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.880419495871700000e+13 2.027341874666452408e+06 -3.007169901203125000e+09 -2.191796406177734375e+09 1.969118079522214830e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.470058754835000000e+13 2.041352761813163757e+06 -3.250382620101562500e+09 -2.387583102708984375e+09 1.983406841633212985e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.111390761422500000e+13 2.055658612798213959e+06 -3.507433558843750000e+09 -2.595912486195312500e+09 1.997992772246370558e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.807321667998300000e+13 2.070255294556617737e+06 -3.778792611742187500e+09 -2.817259084439453125e+09 2.012871605172798736e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.560832961510600000e+13 2.085136912545919418e+06 -4.064946773226562500e+09 -3.052114626777343750e+09 2.028037238494539401e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.374981162480600000e+13 2.100298660388469696e+06 -4.366359102132812500e+09 -3.300946980816406250e+09 2.043484702762247296e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.252897362449600000e+13 2.115735961697578430e+06 -4.683535682375000000e+09 -3.564267132750000000e+09 2.059209268067316851e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.019778673217920000e+14 2.131443695530891418e+06 -5.016934140937500000e+09 -3.842537677777343750e+09 2.075205638235518709e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.121292823210180000e+14 2.147418267568588257e+06 -5.367077172937500000e+09 -4.136286375664062500e+09 2.091470106910723960e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.230167394371220000e+14 2.163654690904378891e+06 -5.734421349234375000e+09 -4.445974919093750000e+09 2.107997519595772959e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.346744889020540000e+14 2.180149911058664322e+06 -6.119501058250000000e+09 -4.772142915753906250e+09 2.124784734211921692e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.471375028611440000e+14 2.196899600035190582e+06 -6.522779675640625000e+09 -5.115259007882812500e+09 2.141827285102122929e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.604414733559080000e+14 2.213900710821151733e+06 -6.944795539937500000e+09 -5.475866893875000000e+09 2.159122041102978401e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.746228061741560000e+14 2.231150149906396866e+06 -7.386030369781250000e+09 -5.854453693765625000e+09 2.176665824519335292e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.897186157054040000e+14 2.248644282317399979e+06 -7.847015748640625000e+09 -6.251556492242187500e+09 2.194454896037622355e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.057667236505760000e+14 2.266381831721782684e+06 -8.328266596265625000e+09 -6.667695740031250000e+09 2.212487971842030063e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.228056464934000000e+14 2.284357961096763611e+06 -8.830294554718750000e+09 -7.103388700113281250e+09 2.230760066148565616e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.408746043205040000e+14 2.302573732043743134e+06 -9.353664683343750000e+09 -7.559206096605468750e+09 2.249272329875828233e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600134947362880000e+14 2.321022544834852219e+06 -9.898854565640625000e+09 -8.035631243132812500e+09 2.268017948247891385e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.802629187197760000e+14 2.339708147060632706e+06 -1.046649555409375000e+10 -8.533301271464843750e+09 2.287000867654354777e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.016641337382640000e+14 2.358621787455320358e+06 -1.105701986189062500e+10 -9.052654238421875000e+09 2.306212040495877620e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.242591036033200000e+14 2.377769882983922958e+06 -1.167113437550000000e+10 -9.594402919101562500e+09 2.325658190165695734e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.480904243014240000e+14 2.397141521271228790e+06 -1.230922597551562500e+10 -1.015894013317968750e+10 2.345328027027222328e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.732014027817600000e+14 2.416745028410792351e+06 -1.297206583548437500e+10 -1.074704303500781250e+10 2.365230259848163929e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.996359539155680000e+14 2.436568135715842247e+06 -1.366002970315625000e+10 -1.135909342360937500e+10 2.385352193990003783e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.274387018781520000e+14 2.456618565404415131e+06 -1.437388309343750000e+10 -1.199586286964062500e+10 2.405701911372518167e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.566548681197040000e+14 2.476885879509091377e+06 -1.511419041996875000e+10 -1.265792192678906250e+10 2.426268624295990914e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.873303361473360000e+14 2.497366527189612389e+06 -1.588133645645312500e+10 -1.334566150772656250e+10 2.447048704123877455e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.195116348869040000e+14 2.518058890450954437e+06 -1.667589777284375000e+10 -1.405966439010937500e+10 2.468040531379549298e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.532459257353440000e+14 2.538960886848926544e+06 -1.749845608350000000e+10 -1.480051849053125000e+10 2.489242005069599487e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.885810024076800000e+14 2.560071105006814003e+06 -1.834960093393750000e+10 -1.556881963528906250e+10 2.510651721851801500e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.255652806067680000e+14 2.581387666689872742e+06 -1.922992715090625000e+10 -1.636516892770312500e+10 2.532267794294340070e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.642477986183520000e+14 2.602909338952541351e+06 -2.014003788503125000e+10 -1.719017584650781250e+10 2.554089005491114687e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.046782067291040000e+14 2.624634423732161522e+06 -2.108054172184375000e+10 -1.804445530642187500e+10 2.576113656073953956e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.469067679889280000e+14 2.646561832937717438e+06 -2.205205566200000000e+10 -1.892863068582812500e+10 2.598340680167981889e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.909843474455040000e+14 2.668690022166967392e+06 -2.305520243159375000e+10 -1.984333107980468750e+10 2.620768538400027901e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.369624131658080000e+14 2.691018032923698425e+06 -2.409061346396875000e+10 -2.078919434196093750e+10 2.643396299679052085e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.848930254739360000e+14 2.713544457629561424e+06 -2.515892613303125000e+10 -2.176686425150781250e+10 2.666222566725372337e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.348288381701600000e+14 2.736268454233050346e+06 -2.626078685918750000e+10 -2.277699368325781250e+10 2.689246529077468440e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.868230871543200000e+14 2.759188745557188988e+06 -2.739684844625000000e+10 -2.382024187528906250e+10 2.712466924616026692e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040929593554448000e+15 2.782304606788992882e+06 -2.856777332746875000e+10 -2.489727773314843750e+10 2.735883063905146439e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.097202750360640000e+15 2.805614890768408775e+06 -2.977423076221875000e+10 -2.600877697079687500e+10 2.759493819160474930e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.155697526890880000e+15 2.829118988833546638e+06 -3.101690022446875000e+10 -2.715542555358593750e+10 2.783298620695330203e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.216469454998624000e+15 2.852815879890084267e+06 -3.229646837571875000e+10 -2.833791659528906250e+10 2.807296470622233115e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.279574634122480000e+15 2.876705062302112579e+06 -3.361363239431250000e+10 -2.955695376935937500e+10 2.831486909124156460e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.345069717232320000e+15 2.900785626765966415e+06 -3.496909676178125000e+10 -3.081324801837500000e+10 2.855869052954765037e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.413011915757792000e+15 2.925057165772914886e+06 -3.636357678081250000e+10 -3.210752112990625000e+10 2.880442538473846857e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.483458986258656000e+15 2.949518867471456528e+06 -3.779779504506250000e+10 -3.344050214542187500e+10 2.905206581824961584e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.556469235004160000e+15 2.974170404606580734e+06 -3.927248519531250000e+10 -3.481293118892187500e+10 2.930160900765976403e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.632101504977504000e+15 2.999011052143216133e+06 -4.078838825896875000e+10 -3.622555571500000000e+10 2.955304799517013133e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.710415180584960000e+15 3.024040555862188339e+06 -4.234625658950000000e+10 -3.767913453876562500e+10 2.980638069428982213e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.791470174779424000e+15 3.049258270643472672e+06 -4.394685007815625000e+10 -3.917443395398437500e+10 3.006160095392500982e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.875326934211264000e+15 3.074664008083224297e+06 -4.559094012162500000e+10 -4.071223178189062500e+10 3.031870734572923742e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.962046425564480000e+15 3.100257194205760956e+06 -4.727930565359375000e+10 -4.229331333343750000e+10 3.057769443203661125e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
